date,3119
2015-01-01,0
2015-01-02,0
2015-01-03,0
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,0
2015-01-08,0
2015-01-09,0
2015-01-10,0
2015-01-11,0
2015-01-12,0
2015-01-13,0
2015-01-14,0
2015-01-15,0
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,0
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,0
2015-01-26,0
2015-01-27,0
2015-01-28,0
2015-01-29,0
2015-01-30,0
2015-01-31,0
2015-02-01,0
2015-02-02,0
2015-02-03,0
2015-02-04,0
2015-02-05,0
2015-02-06,0
2015-02-07,0
2015-02-08,0
2015-02-09,0
2015-02-10,0
2015-02-11,0
2015-02-12,0
2015-02-13,0
2015-02-14,0
2015-02-15,0
2015-02-16,0
2015-02-17,0
2015-02-18,0
2015-02-19,0
2015-02-20,0
2015-02-21,0
2015-02-22,0
2015-02-23,0
2015-02-24,0
2015-02-25,0
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,0
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,0
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,0
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,0
2015-03-27,0
2015-03-28,0
2015-03-29,0
2015-03-30,0
2015-03-31,0
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,0
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,0
2015-04-19,0
2015-04-20,0
2015-04-21,0
2015-04-22,0
2015-04-23,0
2015-04-24,0
2015-04-25,0
2015-04-26,0
2015-04-27,0
2015-04-28,0
2015-04-29,0
2015-04-30,0
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,0
2015-06-02,0
2015-06-03,0
2015-06-04,0
2015-06-05,0
2015-06-06,0
2015-06-07,0
2015-06-08,0
2015-06-09,0
2015-06-10,0
2015-06-11,0
2015-06-12,0
2015-06-13,0
2015-06-14,0
2015-06-15,0
2015-06-16,0
2015-06-17,0
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,0
2015-06-27,0
2015-06-28,0
2015-06-29,0
2015-06-30,0
2015-07-01,0
2015-07-02,0
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,0
2015-07-09,0
2015-07-10,0
2015-07-11,0
2015-07-12,0
2015-07-13,0
2015-07-14,0
2015-07-15,0
2015-07-16,0
2015-07-17,0
2015-07-18,0
2015-07-19,0
2015-07-20,0
2015-07-21,0
2015-07-22,0
2015-07-23,0
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,0
2015-07-28,0
2015-07-29,0
2015-07-30,0
2015-07-31,0
2015-08-01,0
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,8
2015-08-14,20
2015-08-15,37
2015-08-16,34
2015-08-17,32
2015-08-18,38
2015-08-19,46
2015-08-20,32
2015-08-21,45
2015-08-22,52
2015-08-23,56
2015-08-24,36
2015-08-25,49
2015-08-26,45
2015-08-27,53
2015-08-28,58
2015-08-29,51
2015-08-30,54
2015-08-31,55
2015-09-01,51
2015-09-02,52
2015-09-03,52
2015-09-04,49
2015-09-05,56
2015-09-06,58
2015-09-07,38
2015-09-08,48
2015-09-09,57
2015-09-10,35
2015-09-11,63
2015-09-12,40
2015-09-13,71
2015-09-14,68
2015-09-15,64
2015-09-16,67
2015-09-17,55
2015-09-18,75
2015-09-19,69
2015-09-20,60
2015-09-21,53
2015-09-22,60
2015-09-23,59
2015-09-24,61
2015-09-25,75
2015-09-26,50
2015-09-27,71
2015-09-28,55
2015-09-29,70
2015-09-30,55
2015-10-01,45
2015-10-02,16
2015-10-03,20
2015-10-04,39
2015-10-05,54
2015-10-06,61
2015-10-07,56
2015-10-08,68
2015-10-09,42
2015-10-10,47
2015-10-11,43
2015-10-12,49
2015-10-13,51
2015-10-14,62
2015-10-15,63
2015-10-16,49
2015-10-17,50
2015-10-18,42
2015-10-19,49
2015-10-20,64
2015-10-21,59
2015-10-22,62
2015-10-23,67
2015-10-24,44
2015-10-25,38
2015-10-26,64
2015-10-27,55
2015-10-28,24
2015-10-29,62
2015-10-30,52
2015-10-31,34
2015-11-01,39
2015-11-02,60
2015-11-03,68
2015-11-04,72
2015-11-05,58
2015-11-06,69
2015-11-07,38
2015-11-08,37
2015-11-09,65
2015-11-10,31
2015-11-11,51
2015-11-12,58
2015-11-13,52
2015-11-14,18
2015-11-15,27
2015-11-16,58
2015-11-17,48
2015-11-18,55
2015-11-19,22
2015-11-20,62
2015-11-21,23
2015-11-22,47
2015-11-23,40
2015-11-24,55
2015-11-25,37
2015-11-26,16
2015-11-27,27
2015-11-28,21
2015-11-29,13
2015-11-30,48
2015-12-01,28
2015-12-02,35
2015-12-03,44
2015-12-04,51
2015-12-05,28
2015-12-06,31
2015-12-07,41
2015-12-08,56
2015-12-09,50
2015-12-10,61
2015-12-11,44
2015-12-12,41
2015-12-13,35
2015-12-14,44
2015-12-15,56
2015-12-16,47
2015-12-17,30
2015-12-18,40
2015-12-19,20
2015-12-20,22
2015-12-21,43
2015-12-22,28
2015-12-23,15
2015-12-24,20
2015-12-25,9
2015-12-26,14
2015-12-27,18
2015-12-28,19
2015-12-29,21
2015-12-30,33
2015-12-31,24
